1	Mainly Alpha
1.10.1070.11	Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, domain 5
1.10.1080.10	Glutathione Synthetase; Chain A, domain 3
1.10.1090.10	Cytochrome Bc1 Complex; Chain F
1.10.1100.10	TAF(II)230 TBP-binding fragment
1.10.1130.10	Flavocytochrome C3; Chain A
1.10.1140.10	Bovine Mitochondrial F1-atpase; Atp Synthase Beta Chain; Chain D, domain 3
1.10.1160.10	Glutamyl-trna Synthetase; Domain 2
1.10.1170.10	Inhibitor Of Apoptosis Protein (2mihbC-IAP-1); Chain A
1.10.1180.10	C-terminal domain of B transposition protein
1.10.1200.10	
1.10.1200.20	
1.10.1200.30	
1.10.1200.50	
1.10.1200.60	
1.10.1200.70	Glutamyl tRNA-reductase dimerization domain
1.10.1200.80	Putative flavin oxidoreducatase; domain 2
1.10.1200.90	DsbA-like domain
1.10.1200.100	conserved protein domain from corynebacterium diphtheriae
1.10.1220.10	Met repressor-like
1.10.1240.10	Methyltransferase
1.10.1240.20	
1.10.1240.30	KaiA/RbsU domain
1.10.1270.10	TrpR-like
1.10.1270.20	tRNA(m1g37)methyltransferase, domain 2
1.10.1280.10	Di-copper center containing domain from catechol oxidase
1.10.1290.10	Conserved core of transcriptional regulatory protein vp16
1.10.1300.10	Catalytic domain of cyclic nucleotide phosphodiesterase 4b2b
1.10.1320.10	T7 RNA polymerase, domain 1
1.10.1330.10	Type 1 dockerin domain
1.10.1350.10	Viral capsid alpha domain
1.10.1370.10	Neurolysin, domain 3
1.10.1380.10	Neutral endopeptidase , domain2
1.10.1390.10	
1.10.1400.10	
1.10.1410.10	
1.10.1410.20	2'-5'-oligoadenylate synthetase 1, domain 2
1.10.1420.10	
1.10.1440.10	
1.10.1450.10	Tetraspanin
1.10.1470.10	
1.10.1470.20	Fatty acid synthase; domain 2
1.10.1490.10	C-terminal domain of DFF45/ICAD (DFF-C domain)
1.10.1500.10	
1.10.1510.10	
1.10.1520.10	
1.10.1530.10	
1.10.1540.10	BEACH domain
1.10.1580.10	
1.10.1600.10	
1.10.1610.10	
1.10.1620.10	Ribosomal protein L39e
1.10.1620.20	
1.10.1630.10	
1.10.1650.10	
1.10.1660.10	
1.10.1660.20	
1.10.1670.10	Helix-hairpin-Helix base-excision DNA repair enzymes (C-terminal)
1.10.1690.10	
1.10.1710.10	
1.10.1720.10	
1.10.1740.10	
1.10.1740.30	Secreted effector protein SifA helical domain
1.10.1750.10	
1.10.1760.10	Arp2/3 complex 21 kDa subunit ARPC3
1.10.1780.10	Double Clp-N motif
1.10.1790.10	PTS-regulatory domain, PRD
1.10.1810.10	Anti-sigma factor AsiA
1.10.1820.10	protein kinase ck2 holoenzyme, chain C, domain 1
1.10.1840.10	main proteinase (3clpro) structure, domain 3
1.10.1850.10	Scaffolding protein gpD of bacteriophage procapsid
1.10.1860.10	N-terminal alpha-helical clasp
1.10.1870.10	Domain 3, Saccharopine reductase
1.10.1900.10	c-terminal domain of poly(a) binding protein
1.10.1900.20	Ribosomal protein L20
1.10.2000.10	Frizzled cysteine-rich domain
1.10.2010.10	Crustacean CHH/MIH/GIH neurohormone
1.10.2020.10	uronate isomerase, domain 2, chain A
1.10.2030.10	Anthrax toxin lethal factor, domain 3, chain A
1.10.2040.10	Protein mu-1, chain B, domain 2
1.10.2050.10	Protein mu-1, chain B, domain 3
1.10.2060.10	PutA proline dehydrogenase (PRODH), domain 2
1.10.2080.10	Chemosensory protein Csp2
1.10.2090.10	orange carotenoid protein, domain 2
1.10.3020.10	alpha-amino acid ester hydrolase ( Helical cap domain)
1.10.3030.10	Gametocyte protein Pfg27
1.10.3040.10	borna disease virus nucleoprotein, domain 1
1.10.3050.10	borna disease virus nucleoprotein, domain 2
1.10.3060.10	Helical scaffold and wing domains of SecA
1.10.3070.10	Hypothetical protein MTH393
1.10.3080.10	Clc chloride channel
1.10.3090.10	cca-adding enzyme, domain 2
1.10.3100.10	Putative cytoplasmic protein
1.10.3110.10	protoporphyrinogen ix oxidase, domain 3
1.10.3120.10	Trigger factor, domain 2
1.10.3130.10	serine acetyltransferase, domain 1
1.10.3140.10	4-hydroxybutyryl-coa dehydratase, domain 1
1.10.3160.10	Bbcrasp-1
1.10.3170.10	Recbcd, chain B, domain 2
1.10.3180.10	DNA-binding domain of EIN3-like
1.10.3190.10	yfbu gene product, domain 2
1.10.3200.10	AF0941-like
1.10.3210.10	Hypothetical protein af1432
1.10.3230.10	Hypothetical protein yqbg
1.10.3250.10	type ii restriction endonuclease, domain 1
1.10.3260.10	ATP-dependent DNA ligase DNA-binding domain
1.10.3270.10	HMGR, N-terminal domain
1.10.3280.10	Siroheme synthase; domain 3
1.10.3290.10	Fic-like domain
1.10.3300.10	Jann2411-like domain
1.10.3320.10	pa2218 like domain
1.10.3330.10	UraD-like domains
1.10.3340.10	SMc04008-like domain
1.10.3350.10	HP0242-like domain
1.10.3360.10	VPA0735-like domain
1.10.3370.10	Preprotein translocase SecY subunit domain
1.10.3380.10	Sec63 N-terminal domain-like domain
1.10.3390.10	YejL-like
1.10.3400.10	af_2093 domain like
1.10.3410.10	putative deoxyguanosinetriphosphate triphosphohydrolase like domain
1.10.3420.10	putative ntp pyrophosphohydrolase like domain
1.10.3430.10	Ammonium transporter AmtB like domains
1.10.3440.10	Sama2622-like
1.10.3450.10	TTHA0068-like
1.10.3460.10	Chlorophyll a-b binding protein 
1.10.3470.10	ABC transporter involved in vitamin B12 uptake, BtuC
1.10.3480.10	TorD-like
1.10.3490.10	PH0156-like
1.10.3500.10	Tex N-terminal region-like 
1.10.3510.10	NMB0513-like
1.10.3520.10	Glycolipid transfer protein, GLTP 
1.10.3530.10	Api92-like
1.10.3540.10	uncharacterized protein from magnetospirillum magneticum domain
1.10.3550.10	eoxyguanosinetriphosphate triphosphohydrolase domain-like
1.10.3560.10	yst0336 like domain
1.10.3570.10	Rhabdovirus nucleocapsid protein like domain
1.10.3580.10	ATP12 ATPase
1.10.3590.10	acid-sensing ion channel 1 domain
1.10.3600.10	uncharacterized protein encoded by cryptic prophage domain
1.10.3610.10	Nucleoprotein
1.10.3620.10	YdcF like domain
1.10.3630.10	yeast vps74-n-term truncation variant domain like
1.10.3640.10	putative oxidoreductase like domain
1.10.3650.10	nitrate reductase domain like
1.10.3660.10	6-phosphogluconate dehydrogenase C-terminal like domain
1.10.3670.10	Putative xylanase like domain
1.10.3680.10	TerB-like 
1.10.3690.10	PA2222-like domain
1.10.3700.10	AGR C 984p-like
1.10.3710.10	DNA polymerase III clamp loader subunits, C-terminal domain
1.10.3720.10	MetI-like
1.10.3730.10	ProC C-terminal domain-like
1.10.3740.10	SSO1389-like domains
1.10.3750.10	Hypothetical protein YhaI
1.10.3760.10	YutG-like
1.10.3780.10	SusD-like
1.10.3790.10	NinB
1.10.3800.10	ADP-ribosylation domain
1.10.3810.10	Penicillin binding protein transpeptidase domain
1.10.3820.10	Di-heme elbow motif domain
1.10.3830.10	Diacylglycerol kinase domain
1.10.3860.10	Proton glutamate symport protein
1.10.3870.10	AF1437-like domain superfamily
1.10.3880.10	YggX-like
1.10.3890.10	YcfC-like
1.10.3900.10	YacF-like
1.10.3910.10	SP0561-like
1.10.3920.10	PA2201 C-terminal domain-like
1.10.3930.10	Arginine deiminase
1.10.3940.10	AF_0924 domain
1.10.3950.10	putative ecf-type sigma factor negative effector from bacillus cereus
1.10.3960.10	Hypothetical protein MG354
1.10.3970.10	BSD domain-like
1.10.3980.10	ApbE-like superfamily
1.10.3990.20	protein bp1543
1.10.4000.10	Flagellar transcriptional activator FlhD
1.10.4010.10	Type II deoxyuridine triphosphatase
1.10.4020.10	DNA breaking-rejoining enzymes
1.10.4030.10	Porin chaperone SurA, peptide-binding domain
1.10.4040.10	Penicillinase repressor domain
1.10.4050.10	Glutamine synthase adenylyltransferase GlnE
1.10.4060.10	BPP1347 like domain
1.10.4070.10	putative redox-enzyme maturation protein domain
1.10.4080.10	ADP-ribosylglycohydrolase 
1.10.4090.10	Hepatitis B viral capsid (hbcag)
1.10.4100.10	2-methylcitrate dehydratase PrpD
1.10.4110.10	Invasion protein A domain
1.10.4120.10	SopE-like GEF domain
1.10.4140.10	effector protein (NleL)
1.10.4150.10	SipA N-terminal domain-like 
1.20.5.10	
1.20.5.20	
1.20.5.30	
1.20.5.40	
1.20.5.50	
1.20.5.70	
1.20.5.80	
1.20.5.90	
1.20.5.100	
1.20.5.110	
1.20.5.120	
1.20.5.130	
1.20.5.140	
1.20.5.160	Bacterial aa3 type cytochrome c oxidase subunit IV
1.20.5.170	
1.20.5.190	
1.20.5.210	
1.20.5.220	
1.20.5.230	
1.20.5.240	
1.20.5.250	
1.20.5.260	
1.20.5.270	
1.20.5.290	
1.20.5.300	
1.20.5.320	6-Phosphogluconate Dehydrogenase, domain 3
1.20.5.340	
1.20.5.350	
1.20.5.360	
1.20.5.370	
1.20.5.390	
1.20.5.400	
1.20.5.420	Immunoglobulin FC, subunit C
1.20.5.430	
1.20.5.440	
1.20.5.450	
1.20.5.460	Single helix bin
1.20.5.470	Single helix bin
1.20.5.480	Single helix bin
1.20.5.490	Single helix bin
1.20.5.500	Single helix bin
1.20.5.510	Single helix bin
1.20.5.520	Single helix bin
1.20.5.530	Single helix bin
1.20.5.540	Single helix bin
1.20.5.550	Single Helix bin
1.20.5.560	Single Heli x bin
1.20.5.570	Single helix bin
1.20.5.580	Single Helix bin
1.20.5.590	Single helix bin
1.20.5.600	Single helix bin
1.20.5.620	F1F0 ATP synthase subunit B, membrane domain
1.20.5.630	Single helix bin
1.20.5.640	Single helix bin
1.20.5.650	Single helix bin
1.20.5.680	Single Helix bin
1.20.5.690	Single helix bin
1.20.5.700	Single helix bin
1.20.5.710	Single helix bin
1.20.5.730	Single helix bin
1.20.5.740	Single helix  bin
1.20.5.750	Single helix bin
1.20.5.760	Single helix bin
1.20.5.770	Single helix bin
1.20.5.780	Single helix bin
1.20.5.790	Single helix bin
1.20.5.800	Alr1493-like domains
1.20.5.810	AhpD-like 
1.20.5.820	Preprotein translocase SecE subunit
1.20.5.830	luxt domain from vibrio parahaemolyticus
1.20.5.840	hypothetical RNA methyltransferase 
1.20.5.850	Rbstp2229 protein
1.20.5.860	Photosystem q(b) protein helix
1.20.5.870	Voltage-gated potassium channel
1.20.5.880	Photosystem q(b) protein (single helix)
1.20.5.900	transmembrane domain of human cd4 
1.20.5.920	rhodobacter sphaeroides pufx membrane protein
1.20.5.930	Bicelle-embedded integrin alpha(iib) transmembrane segment
1.20.5.950	bacteriochlorophyll c-binding protein
1.20.5.960	Bacteriophage t4 gene product 9 (gp9)
1.20.5.970	Nonstructural RNA-binding protein
1.20.5.990	Nemo cc2-lz domain - 1d5 darpin complex 
1.20.5.1000	arf6 gtpase in complex with a specific effector, jip4 
1.20.5.1010	antiparallel coiled-coil tetramerization domain from trpm7 channels 
1.20.5.1030	Preprotein translocase secy subunit
1.20.5.1040	Sensor protein qsec.
1.20.5.1050	Coiled-coil dimerization domain from cortexillin I 
1.20.5.1060	Tetrabrachion 
1.20.5.1070	Head and neck region of the ectodomain of NDV fusion glycoprotein
1.20.5.1100	AF1437-like
1.20.5.1120	Capz alpha-1 subunit
1.20.5.1130	Connexin43
1.20.5.1140	Docking domain of the erythromycin polyketide synthase (DEBS)
1.20.5.1150	Ribosomal protein S8
1.20.5.1160	Vasodilator-stimulated phosphoprotein
1.20.5.1170	HIT-like
1.20.5.1180	Geminin coiled-coil domain 
1.20.5.1190	iswi atpase
1.20.5.1200	Alpha-tocopherol transfer 
1.20.5.1210	Integron cassette protein helical domain
1.20.5.1220	Regulatory protein rop
1.20.5.1230	Apolipoprotein A-I 
1.20.5.1240	Endo-n-acetylneuraminidase
1.20.10.10	Heat-stable enterotoxin B
1.20.20.10	F1FO ATP Synthase
1.20.50.10	Pheromone ER-1
1.20.50.20	
1.20.58.60	
1.20.58.70	
1.20.58.80	
1.20.58.90	
1.20.58.100	
1.20.58.110	
1.20.58.120	
1.20.58.130	
1.20.58.150	
1.20.58.160	
1.20.58.180	Class II aaRS and biotin synthetases; domain 2
1.20.58.190	Translin; domain 1
1.20.58.200	Translin; domain 2
1.20.58.220	Phosphate transport system protein phou homolog 2; domain 2
1.20.58.240	STAT; domain 1
1.20.58.250	Homologue of the theta subunit of DNA polymerase iii.
1.20.58.280	Hypothetical protein 1500032h18.
1.20.58.290	Hypothetical membrane protein ta0354_69_121.
1.20.58.300	FlgN-like
1.20.58.310	PPK N-terminal domain-like domains
1.20.58.320	TPR-like 
1.20.58.340	Magnesium transport protein CorA, transmembrane region
1.20.58.350	Thioesterase/thiol ester dehydrase-isomerase
1.20.58.360	Shigella T3SS effector IpaH defines
1.20.58.370	MalF N-terminal region-like
1.20.58.380	Flagellar protein flit.
1.20.58.390	Glr4197 protein
1.20.58.400	t-snare proteins 
1.20.58.410	Release factor
1.20.58.420	Alpha-hemoglobin stabilizing protein
1.20.58.430	Typo IV secretion system protein TraC
1.20.58.440	choline binding protein A
1.20.58.450	Cell division control protein 42 homolog
1.20.58.460	Hyaluronidase post-catalytic domain-like 
1.20.59.10	Chorismate Mutase Domain, subunit A
1.20.80.10	
1.20.80.30	
1.20.81.10	Receptor-associated Protein
1.20.82.10	ADP Ribosyl Cyclase; Chain A, domain 1
1.20.85.10	Membrane spanning alpha-helix pairs
1.20.89.10	Nitrogenase Molybdenum-iron Protein, subunit B, domain 4
1.20.90.10	Phospholipase A2
1.20.91.10	
1.20.91.20	Anaphylotoxins (complement system)
1.20.120.10	
1.20.120.20	Apolipoprotein
1.20.120.30	Aspartate receptor, ligand-binding domain
1.20.120.50	
1.20.120.70	
1.20.120.80	
1.20.120.140	
1.20.120.150	FKBP12-rapamycin-binding domain of FKBP-rapamycin-associated protein (FRAP)
1.20.120.160	
1.20.120.180	
1.20.120.220	F1F0 ATP synthase subunit A
1.20.120.230	
1.20.120.240	
1.20.120.260	Bacterial GAP domain
1.20.120.290	
1.20.120.310	
1.20.120.320	Group V grass pollen allergen
1.20.120.330	Nucleotidyltransferases  domain 2
1.20.120.340	
1.20.120.350	Voltage-gated potassium channels. Chain C
1.20.120.360	Domain from hypothetical 2610208m17rik protein
1.20.120.380	Type 1-topoisomerase catalytic fragment, domain 2
1.20.120.390	Hla class ii histocompatibility antigen, dr alpha chain. Chain D, domain 1
1.20.120.400	Nickel-containing superoxide dismutase, NiSOD
1.20.120.420	translation initiation factor eif-2b, domain 1
1.20.120.430	TrmE connector domain
1.20.120.440	YppE-like
1.20.120.450	dinb family like domain
1.20.120.460	protein pf1176 like
1.20.120.470	PG0775 C-terminal domain-like
1.20.120.490	TM1646-like domains
1.20.120.510	mg296 homolog like
1.20.120.520	nmb1532 protein domain like
1.20.120.530	GntR ligand-binding domain-like
1.20.120.540	Voltage-gated potassium channels
1.20.120.550	MAPEG domain-like
1.20.120.560	alix/aip1 in complex with the ypdl late domain 
1.20.120.570	MW0975(SA0943)-like
1.20.120.580	bsu32300 domain like
1.20.120.590	EF2947-like
1.20.120.600	Crystal structure from the mobile metagenome of halifax harbour sewage outfall
1.20.120.610	lithium bound rotor ring of v- atpase
1.20.120.620	Backbone structure of the membrane domain of e. Coli histidine kinase receptor kdpd,
1.20.120.630	RecG, N-terminal domain
1.20.120.640	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases
1.20.120.650	Colicin D immunity protein
1.20.120.660	IL-4 antagonist (De novo design) like domain
1.20.120.670	N-acetyl-b-d-glucoasminidase 
1.20.140.10	Butyryl-CoA Dehydrogenase, subunit A, domain 3
1.20.140.20	
1.20.140.30	Mob1/phocein
1.20.140.40	Invertase/pectin methylesterase inhibitor family protein
1.20.140.50	alix/aip1 like domains
1.20.141.10	Chitosanase, subunit A, domain 1
1.20.142.10	Poly(ADP-ribose) Polymerase, domain 1
1.20.144.10	Vanadium-containing Chloroperoxidase, domain 1
1.20.150.10	Fertilization protein
1.20.150.20	
1.20.190.10	
1.20.190.20	
1.20.200.10	Fumarase/aspartase (Central domain)
1.20.200.20	RNA-binding protein She2p
1.20.210.10	Cytochrome C Oxidase, chain A
1.20.225.10	Bacteriocin AS-48
1.20.245.10	Lipoxygenase-1; Domain 5
1.20.250.10	Colicin Ia, domain 1
1.20.272.10	
1.20.810.10	Cytochrome Bc1 Complex; Chain C
1.20.840.10	Methyl-coenzyme M Reductase; Chain B, domain 2
1.20.850.10	Hydroxylamine Oxidoreductase; Chain A, domain 2
1.20.860.20	Photosystem I reaction center subunit X, PsaK
1.20.870.10	Son of sevenless (SoS) protein Chain: S domain 1
1.20.890.10	cAMP-dependent Protein Kinase, Chain A
1.20.890.20	mpn423 like domain
1.20.890.30	VCA0319-like
1.20.900.10	DBL homology domain (DH-domain)
1.20.910.10	Heme oxygenase-like
1.20.920.10	Histone Acetyltransferase; Chain A
1.20.930.10	Conserved domain common to transcription factors TFIIS, elongin A, CRSP70
1.20.930.20	N-terminal domain of cbl (N-cbl)
1.20.930.40	
1.20.940.10	Functional domain of the splicing factor Prp18
1.20.950.20	Transmembrane di-heme cytochromes, Chain C
1.20.960.10	
1.20.960.20	
1.20.970.10	Transferase, Pyrimidine Nucleoside Phosphorylase; Chain C
1.20.970.20	Glycogen synthesis protein GlgS
1.20.990.10	NADPH-cytochrome p450 Reductase; Chain A, domain 3
1.20.1000.10	Interferon-induced guanylate-binding protein 1 (GBP1), C-terminal domain
1.20.1020.10	CREB-binding Protein; Chain A
1.20.1050.10	
1.20.1050.20	
1.20.1050.40	Endopeptidase. Chain P; domain 1
1.20.1050.50	Particulate methane monooxygenase subunit c2. Chain: C
1.20.1050.60	alpha-1,2-mannosidase
1.20.1060.10	Taq DNA Polymerase; Chain T, domain 4
1.20.1070.10	Rhopdopsin 7-helix transmembrane proteins
1.20.1080.10	Glycerol uptake facilitator protein.
1.20.1090.10	Dehydroquinate synthase-like - alpha domain
1.20.1110.10	Calcium-transporting ATPase, transmembrane domain
1.20.1120.10	Clostridium botulinum neurotoxin b, "coiled-coil" domain
1.20.1130.10	Photosystem I subunits PsaA/PsaB
1.20.1150.12	ERP29 C domain-like
1.20.1160.11	PAH2 domain
1.20.1170.10	
1.20.1180.10	
1.20.1200.10	
1.20.1220.12	
1.20.1230.10	
1.20.1240.10	
1.20.1250.10	
1.20.1250.20	MFS general substrate transporter like domains
1.20.1260.10	
1.20.1270.10	
1.20.1270.20	
1.20.1270.30	
1.20.1270.50	Families 57/38 glycoside transferase middle domain
1.20.1270.60	Arfaptin, Rac-binding fragment, chain A
1.20.1270.70	Designed single chain three-helix bundle
1.20.1270.90	AF1782-like
1.20.1270.110	Vng1086c-like domain
1.20.1270.130	Shigella T3SS effector IpaH domain
1.20.1270.140	Avirulence protein AvrPto
1.20.1270.150	Surface Active Protein
1.20.1280.10	
1.20.1280.20	
1.20.1280.30	
1.20.1280.40	
1.20.1280.50	
1.20.1290.10	AhpD-like
1.20.1300.10	Fumarate reductase respiratory complex transmembrane subunits
1.20.1310.10	Cullin Repeats
1.20.1320.20	hef helicase domain
1.20.1330.10	f41 fragment of flagellin, N-terminal domain
1.20.1340.10	dopa decarboxylase, N-terminal domain
1.20.1370.10	Hemocyanin, N-terminal domain
1.20.1380.10	Replication modulator SeqA, C-terminal DNA-binding domain
1.20.1390.10	PWI domain
1.20.1400.10	Mollusk pheromone
1.20.1410.10	I/LWEQ domain
1.20.1420.10	A middle domain of Talin 1
1.20.1430.10	Families 57/38 glycoside transferase middle domain
1.20.1440.10	de novo design (two linked rop proteins)
1.20.1440.20	LemA-like
1.20.1440.30	Biosynthetic Protein domain
1.20.1440.40	YqcC-like
1.20.1440.50	Ta0600-like
1.20.1440.60	IVS-encoded domain-like
1.20.1440.70	PA2201 N-terminal domain-like
1.20.1440.80	Gap junction channel protein cysteine-rich domain
1.20.1440.90	Phosphoenolpyruvate/pyruvate domain 
1.20.1440.100	SG protein - dephosphorylation function
1.20.1440.110	acylaminoacyl peptidase
1.20.1450.10	particulate methane monooxygenase, chain B
1.20.1460.10	subunit c (vma5p) of the yeast v-atpase, domain 2
1.20.1480.10	hypothetical protein mp506/mpn330, domain 1
1.20.1480.20	MAST3 pre-PK domain-like
1.20.1480.30	Designed four-helix bundle protein
1.20.1500.10	YheA/YmcA-like
1.20.1510.10	Cation efflux protein cytoplasmic domain-like
1.20.1520.10	Adp-ribosylation factor-like protein 2-binding protein domain
1.20.1530.10	Na+/H+ antiporter like domain
1.20.1540.10	Rhomboid-like domains
1.20.1550.10	DsbB-like
1.20.1560.10	Putative multidrug export ATP-binding/permease protein like domains
1.20.1570.10	dip2346 domain like
1.20.1580.10	ABC transporter ATPase  like domain
1.20.1590.10	YP_001051499.1 domain like
1.20.1600.10	Outer membrane efflux proteins (OEP) 
1.20.1610.10	alpha-1,2-mannosidases domains
1.20.1630.10	Formate dehydrogenase/DMSO reductase domain
1.20.1640.10	Multidrug efflux transporter AcrB transmembrane domain
1.20.1650.10	PLP-dependent transferases
1.20.1660.10	Hypothetical protein (EF3068)
1.20.1670.10	Type II deoxyuridine triphosphatase
1.20.1680.10	Type II deoxyuridine triphosphatase
1.20.1690.10	V-type ATP synthase subunit C domain
1.20.1700.10	AF1104-like
1.20.1710.10	IpaD-like 
1.25.10.10	Leucine-rich Repeat Variant
1.25.10.20	Lipovitellin-phosvitin complex, superhelical domain
1.25.10.30	IP3 receptor type 1 binding core, domain 2
1.25.20.10	Bacterial muramidases
1.25.40.10	
1.25.40.20	
1.25.40.30	
1.25.40.40	
1.25.40.60	
1.25.40.70	
1.25.40.80	
1.25.40.90	
1.25.40.120	Protein prenylyltransferase
1.25.40.150	
1.25.40.170	
1.25.40.180	
1.25.40.190	
1.25.40.200	Ran-GTPase activating protein 1 (RanGAP1), C-terminal domain
1.25.40.210	Telomeric repeat binding factor (TRF) dimerisation domain
1.25.40.240	C-terminal domain of Ku80
1.25.40.250	ARM repeat; domain 1
1.25.40.270	Vacuolar protein sorting-associated protein vta1
1.25.40.280	alix/aip1 like domains
1.25.40.290	ARM repeat domains
1.25.40.300	Putative secreted effector protein
1.25.50.10	Metalloproteases ("zincins"), catalytic domain
1.25.60.10	MgtE N-terminal domain-like
1.40.10.10	Peridinin-chlorophyll Protein, Chain M
1.50.10.10	
1.50.10.20	
1.50.10.100	Chondroitin AC/alginate lyase
1.50.10.130	Isoprenoid Synthase - domain 1
1.50.40.10	Mitochondrial carrier domain
2.10.10.10	
2.10.10.20	
2.10.22.10	Antistasin; domain 1
2.10.25.10	Laminin
2.10.25.20	reovirus attachment protein sigma1; domain 1
2.10.25.30	Alliin lyase; domain 1
2.10.50.10	Tumor Necrosis Factor Receptor, subunit A, domain 2
2.10.50.20	Inosine monophosphate dehydrogenase (IMPDH)
2.10.55.10	Leishmanolysin domain 3
2.10.60.10	CD59
2.10.69.10	Cysteine Protease (Bromelain) Inhibitor, subunit H
2.10.70.10	Complement Module, domain 1
2.10.70.20	gspk-gspi-gspj complex like domains
2.10.70.30	Ta1353-like
2.10.70.40	peptidoglycan hydrolase 
2.10.77.10	Hemagglutinin Chain A, Domain 2
2.10.80.10	Lipase, subunit A
2.10.90.10	Cystine-knot cytokines
2.10.109.10	Umud Fragment, subunit A
2.10.110.10	Cysteine Rich Protein
2.10.150.10	Urease, beta-subunit
2.10.160.10	Heparin-binding domain from vascular endothelial growth factor
2.10.210.10	Cytochrome Bc1 Complex; Chain I
2.10.220.10	Hormone Receptor, Insulin-like Growth Factor Receptor 1; Chain A, domain 2
2.10.230.10	DnaJ/Hsp40 cysteine-rich domain
2.10.240.10	Dihydroorotate dehydrogenase b (pyrk subunit), domain 3
2.10.250.10	Calnexin lumenal domain, non-globular proline-rich hairpin domain
2.10.260.10	
2.10.270.10	Cholin Binding
2.10.280.10	heat- and protease-stable fragment of the bacteriophage t4 short fibre, domain 1
2.10.290.10	YfgJ-like
2.10.300.10	Porin MspA ribbon domain
2.10.310.10	Serpins superfamily
2.20.20.10	Anthopleurin-A
2.20.20.20	Baseplate structural protein gp11
2.20.20.30	reverse gyrase domain 
2.20.20.40	Integron cassette protein 
2.20.25.10	
2.20.25.20	
2.20.25.30	
2.20.25.80	WRKY DNA-binding domain
2.20.25.90	ADC-like domains
2.20.25.100	Zn-binding ribosomal proteins
2.20.25.110	S-adenosyl-L-methionine-dependent methyltransferases
2.20.28.10	
2.20.28.20	
2.20.28.30	RNA polymerase ii, chain L
2.20.28.40	Nop10-like SnoRNP
2.20.28.50	degv family protein
2.20.50.20	Lipovitellin. Chain A, domain 3
2.20.60.10	Heparin-binding Growth Factor, Midkine; Chain A
2.20.70.10	
2.20.80.10	Lipovitellin-phosvitin complex, chain A, domain 4
2.20.90.10	Lipovitellin-phosvitin complex; chain B beta-sheet shell regions
2.20.100.10	TSP-1 type 1 repeat
2.20.110.10	Histone H3 K4-specific methyltransferase SET7/9 N-terminal domain
2.20.120.10	Multimodular pneumococcal cell wall endolysin, domain 3
2.20.130.10	CAC2371-like domains
2.20.140.10	q64v53_bacfr domain like
2.20.150.10	putative 5-dehydro-2- deoxygluconokinase
2.20.160.10	titin domain like
2.20.170.10	p120GAP domain-like
2.20.180.10	putative fmn-dependent nitroreductase like domains
2.20.200.10	Outer membrane efflux proteins (OEP)
2.20.210.10	ubp-family deubiquitinating enzyme superfamily
2.20.220.10	alpha-Amylases
2.20.230.10	Resuscitation-promoting factor rpfb.
2.30.18.10	Transcription factor IIA (TFIIA), beta-barrel domain
2.30.22.10	Head domain of nucleotide exchange factor GrpE
2.30.24.10	SacY-like RNA-binding domain
2.30.26.10	Dihydroorotate Dehydrogenase A, chain A, domain 2
2.30.27.10	Phage FD Coat Protein,Membrane penetration domain
2.30.29.30	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)
2.30.29.40	PH domain-like; domain 1
2.30.29.50	BPHL domain 
2.30.30.10	
2.30.30.20	Aspartate carbamoyltransferase, Regulatory-chain, C-terminal domain
2.30.30.30	
2.30.30.40	SH3 Domains
2.30.30.50	
2.30.30.60	
2.30.30.70	Myosin S1 fragment SH3-like barrel
2.30.30.90	
2.30.30.100	
2.30.30.110	
2.30.30.130	mu transposase, C-terminal domain
2.30.30.140	
2.30.30.150	
2.30.30.170	
2.30.30.180	YhbC-like, C-terminal domain
2.30.30.190	
2.30.30.210	RNase P subunit p29-like
2.30.30.220	SspB-like
2.30.30.230	Fumarylacetoacetate hydrolase, FAH, N-terminal domain
2.30.30.240	PRC-barrel domain
2.30.30.280	Adenine nucleotide alpha hydrolases-like domains
2.30.30.290	YopX-like domains 
2.30.30.300	class i lysyl-tRNA synthetase like
2.30.30.310	YopX-like domains
2.30.30.320	pfam duf1653 like domain
2.30.30.340	Hypothetical protein YfhH like domains
2.30.30.350	mobile metagenome of vibrio cholerae. Integron cassette protein vch_cass4.
2.30.30.360	Myosin S1 fragment, N-terminal domain
2.30.30.370	FAH
2.30.30.380	Zn-finger domain of Sec23/24
2.30.30.390	YccV-like
2.30.30.400	Rof-like
2.30.30.410	Cell wall targeting domain of glycylglycine endopeptidase 
2.30.30.420	glucansucrase 
2.30.31.10	Transcriptional Coactivator Pc4; Chain A
2.30.32.30	Xylanase; Chain A
2.30.33.40	10 Kd Chaperonin, Protein Cpn10; Chain O
2.30.34.10	Leishmanolysin domain 4
2.30.36.70	Actin; Chain A, domain 2
2.30.38.10	Luciferase; Domain 3
2.30.39.10	Alpha-1-antitrypsin, domain 1
2.30.40.10	Urease, subunit C, domain 1
2.30.42.10	
2.30.60.10	HIV-inactivating Protein,Cyanovirin-n;
2.30.90.10	Heparin-binding Growth Factor, Midkine; Chain A- C-terminal Domain
2.30.110.10	Electron Transport, Fmn-binding Protein; Chain A
2.30.110.20	Hcp1-like
2.30.120.10	
2.30.130.10	
2.30.130.30	Hypothetical protein.
